"user.A.id","user.B.id","genre","date"
2,2,"heavy metal / hardcore",2008-09-15
43,38,"heavy metal / hardcore",2008-09-15
46,38,"showtunes",2008-09-15
47,40,"indie / alternative rock",2008-09-16
20,40,"indie / alternative rock",2008-09-15
6,40,"classic rock",2008-09-15
20,40,"jazz",2008-09-15
20,40,"classical",2008-09-15
6,40,"showtunes",2008-09-15
30,40,"showtunes",2008-09-15
20,40,"showtunes",2008-09-15
52,52,"heavy metal / hardcore",2008-09-16
52,52,"jazz",2008-09-16
52,52,"classical",2008-09-16
30,62,"classic rock",2008-09-15
19,62,"classical",2008-09-15
46,62,"classical",2008-09-15
43,62,"classical",2008-09-15
46,62,"showtunes",2008-09-15
72,62,"other",2008-09-16
35,5,"classical",2008-09-15
43,5,"classical",2008-09-15
20,17,"classic rock",2008-09-15
20,17,"techno / lounge / electronic",2008-09-15
5,17,"country / folk",2008-09-15
8,8,"classic rock",2008-09-15
8,8,"pop / top 40",2008-09-15
8,8,"classical",2008-09-15
11,57,"indie / alternative rock",2008-09-16
21,57,"indie / alternative rock",2008-09-16
27,57,"indie / alternative rock",2008-09-16
63,57,"classic rock",2008-09-16
27,57,"classic rock",2008-09-16
11,57,"heavy metal / hardcore",2008-09-16
21,57,"heavy metal / hardcore",2008-09-16
4,57,"heavy metal / hardcore",2008-09-15
21,57,"classical",2008-09-16
30,54,"indie / alternative rock",2008-09-15
30,54,"classic rock",2008-09-15
8,41,"classic rock",2008-09-15
8,41,"pop / top 40",2008-09-15
8,41,"classical",2008-09-15
42,59,"classic rock",2008-09-15
42,59,"heavy metal / hardcore",2008-09-15
35,66,"classical",2008-09-15
5,66,"classical",2008-09-15
35,66,"other",2008-09-15
47,68,"indie / alternative rock",2008-09-16
30,68,"indie / alternative rock",2008-09-15
46,68,"indie / alternative rock",2008-09-15
54,68,"indie / alternative rock",2008-09-15
20,68,"indie / alternative rock",2008-09-15
42,68,"indie / alternative rock",2008-09-15
54,68,"classic rock",2008-09-15
20,68,"classical",2008-09-15
54,68,"showtunes",2008-09-15
35,35,"indie / alternative rock",2008-09-15
66,35,"classic rock",2008-09-16
35,35,"classic rock",2008-09-15
35,35,"other",2008-09-15
5,45,"classical",2008-09-15
47,32,"indie / alternative rock",2008-09-16
20,70,"indie / alternative rock",2008-09-15
8,70,"classical",2008-09-15
43,70,"classical",2008-09-15
21,21,"indie / alternative rock",2008-09-16
27,21,"indie / alternative rock",2008-09-16
56,21,"indie / alternative rock",2008-09-15
58,21,"indie / alternative rock",2008-09-15
24,21,"indie / alternative rock",2008-09-15
21,21,"classic rock",2008-09-16
27,21,"classic rock",2008-09-16
57,21,"classic rock",2008-09-15
58,21,"classic rock",2008-09-15
4,21,"classic rock",2008-09-15
24,21,"classic rock",2008-09-15
21,21,"heavy metal / hardcore",2008-09-16
27,21,"heavy metal / hardcore",2008-09-16
58,21,"heavy metal / hardcore",2008-09-15
58,21,"pop / top 40",2008-09-15
21,21,"techno / lounge / electronic",2008-09-16
11,21,"classical",2008-09-16
63,21,"classical",2008-09-16
21,21,"classical",2008-09-16
27,21,"classical",2008-09-16
57,21,"classical",2008-09-15
58,21,"classical",2008-09-15
24,21,"classical",2008-09-15
27,21,"other",2008-09-16
11,36,"indie / alternative rock",2008-09-16
47,36,"indie / alternative rock",2008-09-16
46,36,"indie / alternative rock",2008-09-15
11,36,"classic rock",2008-09-16
47,36,"classic rock",2008-09-16
19,36,"classic rock",2008-09-15
46,36,"classic rock",2008-09-15
11,36,"heavy metal / hardcore",2008-09-16
47,36,"heavy metal / hardcore",2008-09-16
47,36,"pop / top 40",2008-09-16
44,36,"pop / top 40",2008-09-16
6,36,"pop / top 40",2008-09-15
19,36,"pop / top 40",2008-09-15
30,36,"pop / top 40",2008-09-15
46,36,"pop / top 40",2008-09-15
18,36,"pop / top 40",2008-09-15
42,36,"pop / top 40",2008-09-15
11,36,"techno / lounge / electronic",2008-09-16
47,36,"techno / lounge / electronic",2008-09-16
69,36,"techno / lounge / electronic",2008-09-16
44,36,"techno / lounge / electronic",2008-09-16
6,36,"techno / lounge / electronic",2008-09-15
30,36,"techno / lounge / electronic",2008-09-15
46,36,"techno / lounge / electronic",2008-09-15
28,36,"techno / lounge / electronic",2008-09-15
42,36,"techno / lounge / electronic",2008-09-15
23,36,"techno / lounge / electronic",2008-09-15
47,36,"hip-hop / r&b",2008-09-16
44,36,"hip-hop / r&b",2008-09-16
6,36,"hip-hop / r&b",2008-09-15
30,36,"hip-hop / r&b",2008-09-15
18,36,"hip-hop / r&b",2008-09-15
42,36,"hip-hop / r&b",2008-09-15
6,36,"other",2008-09-15
47,65,"showtunes",2008-09-16
29,65,"showtunes",2008-09-16
47,14,"classical",2008-09-16
44,14,"classical",2008-09-16
30,14,"classical",2008-09-15
46,14,"classical",2008-09-15
60,14,"classical",2008-09-15
28,14,"classical",2008-09-15
42,14,"classical",2008-09-15
23,14,"classical",2008-09-15
47,44,"indie / alternative rock",2008-09-16
46,44,"indie / alternative rock",2008-09-15
18,44,"indie / alternative rock",2008-09-15
20,44,"indie / alternative rock",2008-09-15
6,44,"classic rock",2008-09-15
46,44,"classic rock",2008-09-15
47,44,"pop / top 40",2008-09-16
60,44,"classical",2008-09-15
47,44,"showtunes",2008-09-16
19,44,"showtunes",2008-09-15
30,44,"showtunes",2008-09-15
46,44,"showtunes",2008-09-15
6,44,"other",2008-09-15
20,44,"other",2008-09-15
47,23,"indie / alternative rock",2008-09-16
46,23,"indie / alternative rock",2008-09-15
18,23,"indie / alternative rock",2008-09-15
47,23,"pop / top 40",2008-09-16
6,23,"classical",2008-09-15
6,23,"showtunes",2008-09-15
19,23,"showtunes",2008-09-15
2,3,"showtunes",2008-09-15
2,3,"other",2008-09-15
27,4,"indie / alternative rock",2008-09-16
56,4,"indie / alternative rock",2008-09-15
58,4,"indie / alternative rock",2008-09-15
24,4,"indie / alternative rock",2008-09-15
7,4,"classic rock",2008-09-16
27,4,"classic rock",2008-09-16
27,4,"heavy metal / hardcore",2008-09-16
58,4,"pop / top 40",2008-09-15
7,4,"hip-hop / r&b",2008-09-16
24,4,"classical",2008-09-15
7,4,"country / folk",2008-09-16
6,6,"indie / alternative rock",2008-09-15
30,6,"indie / alternative rock",2008-09-15
46,6,"indie / alternative rock",2008-09-15
23,6,"indie / alternative rock",2008-09-15
47,6,"classic rock",2008-09-16
40,6,"classic rock",2008-09-16
44,6,"classic rock",2008-09-16
6,6,"classic rock",2008-09-15
30,6,"classic rock",2008-09-15
46,6,"classic rock",2008-09-15
28,6,"classic rock",2008-09-15
18,6,"classic rock",2008-09-15
20,6,"classic rock",2008-09-15
23,6,"classic rock",2008-09-15
6,6,"techno / lounge / electronic",2008-09-15
46,6,"techno / lounge / electronic",2008-09-15
46,6,"jazz",2008-09-15
40,6,"classical",2008-09-16
44,6,"classical",2008-09-16
6,6,"classical",2008-09-15
6,6,"showtunes",2008-09-15
6,6,"other",2008-09-15
47,20,"indie / alternative rock",2008-09-16
47,20,"classic rock",2008-09-16
42,20,"classic rock",2008-09-15
47,20,"heavy metal / hardcore",2008-09-16
30,20,"heavy metal / hardcore",2008-09-15
42,20,"heavy metal / hardcore",2008-09-15
47,20,"pop / top 40",2008-09-16
47,20,"techno / lounge / electronic",2008-09-16
47,20,"hip-hop / r&b",2008-09-16
35,9,"indie / alternative rock",2008-09-15
4,9,"indie / alternative rock",2008-09-15
42,9,"heavy metal / hardcore",2008-09-15
66,9,"techno / lounge / electronic",2008-09-16
35,9,"techno / lounge / electronic",2008-09-15
28,9,"techno / lounge / electronic",2008-09-15
4,9,"techno / lounge / electronic",2008-09-15
42,9,"techno / lounge / electronic",2008-09-15
69,9,"hip-hop / r&b",2008-09-16
4,9,"hip-hop / r&b",2008-09-15
42,9,"hip-hop / r&b",2008-09-15
4,9,"classical",2008-09-15
37,9,"other",2008-09-16
69,9,"other",2008-09-16
19,9,"other",2008-09-15
28,9,"other",2008-09-15
4,9,"other",2008-09-15
42,9,"other",2008-09-15
11,25,"indie / alternative rock",2008-09-16
47,25,"indie / alternative rock",2008-09-16
11,25,"classic rock",2008-09-16
47,25,"classic rock",2008-09-16
63,25,"heavy metal / hardcore",2008-09-16
47,25,"heavy metal / hardcore",2008-09-16
6,25,"heavy metal / hardcore",2008-09-15
2,25,"heavy metal / hardcore",2008-09-15
21,27,"indie / alternative rock",2008-09-16
27,27,"indie / alternative rock",2008-09-16
56,27,"indie / alternative rock",2008-09-15
58,27,"indie / alternative rock",2008-09-15
21,27,"classic rock",2008-09-16
27,27,"classic rock",2008-09-16
58,27,"classic rock",2008-09-15
24,27,"classic rock",2008-09-15
11,27,"heavy metal / hardcore",2008-09-16
63,27,"heavy metal / hardcore",2008-09-16
21,27,"heavy metal / hardcore",2008-09-16
27,27,"heavy metal / hardcore",2008-09-16
31,27,"heavy metal / hardcore",2008-09-15
4,27,"heavy metal / hardcore",2008-09-15
24,27,"heavy metal / hardcore",2008-09-15
58,27,"pop / top 40",2008-09-15
27,27,"other",2008-09-16
30,60,"indie / alternative rock",2008-09-15
60,60,"classic rock",2008-09-15
30,60,"hip-hop / r&b",2008-09-15
30,60,"classical",2008-09-15
60,60,"classical",2008-09-15
20,42,"indie / alternative rock",2008-09-15
20,42,"classic rock",2008-09-15
20,42,"pop / top 40",2008-09-15
28,42,"classical",2008-09-15
20,42,"classical",2008-09-15
30,46,"indie / alternative rock",2008-09-15
20,46,"indie / alternative rock",2008-09-15
6,46,"classic rock",2008-09-15
20,46,"classic rock",2008-09-15
44,46,"techno / lounge / electronic",2008-09-16
23,46,"techno / lounge / electronic",2008-09-15
6,46,"other",2008-09-15
28,46,"other",2008-09-15
20,46,"other",2008-09-15
23,46,"other",2008-09-15
23,71,"techno / lounge / electronic",2008-09-15
28,71,"other",2008-09-15
23,71,"other",2008-09-15
35,69,"indie / alternative rock",2008-09-15
35,69,"techno / lounge / electronic",2008-09-15
28,69,"techno / lounge / electronic",2008-09-15
5,69,"techno / lounge / electronic",2008-09-15
37,69,"other",2008-09-16
35,69,"other",2008-09-15
46,18,"indie / alternative rock",2008-09-15
48,18,"indie / alternative rock",2008-09-15
6,18,"classic rock",2008-09-15
46,18,"classic rock",2008-09-15
72,18,"pop / top 40",2008-09-16
6,18,"pop / top 40",2008-09-15
30,18,"pop / top 40",2008-09-15
30,18,"hip-hop / r&b",2008-09-15
67,18,"classical",2008-09-16
6,18,"classical",2008-09-15
60,18,"classical",2008-09-15
23,18,"classical",2008-09-15
39,18,"showtunes",2008-09-18
72,18,"showtunes",2008-09-16
