"user.id","genre","date","score"
73,"indie / alternative rock","2008-09-22",""
55,"indie / alternative rock","2008-09-19",""
36,"indie / alternative rock","2008-09-19","2 Moderate Interest"
39,"indie / alternative rock","2008-09-18",""
37,"indie / alternative rock","2008-09-16","3 High Interest"
3,"indie / alternative rock","2008-09-16",""
72,"indie / alternative rock","2008-09-16","1 Slight Interest"
11,"indie / alternative rock","2008-09-16","2 Moderate Interest"
63,"indie / alternative rock","2008-09-16","2 Moderate Interest"
21,"indie / alternative rock","2008-09-16","3 High Interest"
59,"indie / alternative rock","2008-09-16","3 High Interest"
47,"indie / alternative rock","2008-09-16","3 High Interest"
51,"indie / alternative rock","2008-09-16",""
17,"indie / alternative rock","2008-09-16","3 High Interest"
52,"indie / alternative rock","2008-09-16","2 Moderate Interest"
29,"indie / alternative rock","2008-09-16","1 Slight Interest"
40,"indie / alternative rock","2008-09-16","2 Moderate Interest"
50,"indie / alternative rock","2008-09-16","3 High Interest"
9,"indie / alternative rock","2008-09-16","1 Slight Interest"
7,"indie / alternative rock","2008-09-16","3 High Interest"
69,"indie / alternative rock","2008-09-16","1 Slight Interest"
44,"indie / alternative rock","2008-09-16","3 High Interest"
27,"indie / alternative rock","2008-09-16",""
66,"indie / alternative rock","2008-09-16","3 High Interest"
67,"indie / alternative rock","2008-09-16",""
64,"indie / alternative rock","2008-09-16","2 Moderate Interest"
6,"indie / alternative rock","2008-09-15","2 Moderate Interest"
19,"indie / alternative rock","2008-09-15","2 Moderate Interest"
30,"indie / alternative rock","2008-09-15","2 Moderate Interest"
71,"indie / alternative rock","2008-09-15",""
1,"indie / alternative rock","2008-09-15","3 High Interest"
46,"indie / alternative rock","2008-09-15","2 Moderate Interest"
35,"indie / alternative rock","2008-09-15","2 Moderate Interest"
32,"indie / alternative rock","2008-09-15","3 High Interest"
53,"indie / alternative rock","2008-09-15",""
83,"indie / alternative rock","2008-09-15","2 Moderate Interest"
14,"indie / alternative rock","2008-09-15",""
25,"indie / alternative rock","2008-09-15","3 High Interest"
61,"indie / alternative rock","2008-09-15","2 Moderate Interest"
33,"indie / alternative rock","2008-09-15","3 High Interest"
60,"indie / alternative rock","2008-09-15","2 Moderate Interest"
48,"indie / alternative rock","2008-09-15","2 Moderate Interest"
41,"indie / alternative rock","2008-09-15",""
38,"indie / alternative rock","2008-09-15","3 High Interest"
28,"indie / alternative rock","2008-09-15",""
26,"indie / alternative rock","2008-09-15","3 High Interest"
10,"indie / alternative rock","2008-09-15",""
22,"indie / alternative rock","2008-09-15","2 Moderate Interest"
65,"indie / alternative rock","2008-09-15","2 Moderate Interest"
18,"indie / alternative rock","2008-09-15","3 High Interest"
54,"indie / alternative rock","2008-09-15","3 High Interest"
2,"indie / alternative rock","2008-09-15","1 Slight Interest"
56,"indie / alternative rock","2008-09-15","3 High Interest"
5,"indie / alternative rock","2008-09-15","1 Slight Interest"
20,"indie / alternative rock","2008-09-15","2 Moderate Interest"
57,"indie / alternative rock","2008-09-15","3 High Interest"
58,"indie / alternative rock","2008-09-15","3 High Interest"
62,"indie / alternative rock","2008-09-15","3 High Interest"
31,"indie / alternative rock","2008-09-15","2 Moderate Interest"
4,"indie / alternative rock","2008-09-15","2 Moderate Interest"
68,"indie / alternative rock","2008-09-15","3 High Interest"
42,"indie / alternative rock","2008-09-15","3 High Interest"
24,"indie / alternative rock","2008-09-15","3 High Interest"
45,"indie / alternative rock","2008-09-15",""
70,"indie / alternative rock","2008-09-15",""
82,"indie / alternative rock","2008-09-15",""
23,"indie / alternative rock","2008-09-15","3 High Interest"
8,"indie / alternative rock","2008-09-15","2 Moderate Interest"
84,"indie / alternative rock","2008-09-15",""
43,"indie / alternative rock","2008-09-15","1 Slight Interest"
34,"indie / alternative rock","2008-09-15","2 Moderate Interest"
13,"indie / alternative rock","2008-09-15",""
49,"indie / alternative rock","2008-09-15","3 High Interest"
16,"indie / alternative rock","2008-09-15","3 High Interest"
73,"classic rock","2008-09-22",""
55,"classic rock","2008-09-19","2 Moderate Interest"
36,"classic rock","2008-09-19",""
39,"classic rock","2008-09-18",""
37,"classic rock","2008-09-16","2 Moderate Interest"
