"user_id","interested_in_politics","preferred_party","likelihood_of_voting","voting_for_today","preferred_party_details","liberal_or_conservative","survey.month","did_vote_in_election","not_voted_preferred_candidate","voted_preferred_candidate","approve_obama_president","approve_congress","approve_obama_economy"
55,"Very interested","Independent","I will most likely vote","Probably John McCain","Republican Party","Slightly conservative","2008.09",,,,,,
36,"Slightly interested","Republican","I don't know whether or not I will vote","Definitely John McCain","Strong Republican","Conservative","2008.09",,,,,,
39,"Somewhat interested","Democrat",,"Probably Barack Obama","Not very strong Democrat","Slightly liberal","2008.09",,,,,,
37,"Not at all interested","Democrat","I will most likely not vote","Probably Barack Obama","Not very strong Democrat","Extremely liberal","2008.09",,,,,,
72,"Very interested","Democrat","I will definitely vote","Definitely Barack Obama","Strong Democrat","Liberal","2008.09",,,,,,
11,"Slightly interested","Democrat","I don't know whether or not I will vote","Definitely Barack Obama","Not very strong Democrat","Moderate middle of the road","2008.09",,,,,,
63,"Somewhat interested","Republican","I will definitely vote","Definitely John McCain","Strong Republican","Slightly conservative","2008.09",,,,,,
21,"Somewhat interested","Republican","I will most likely vote","Definitely John McCain","Not very strong Republican","Slightly conservative","2008.09",,,,,,
59,"Somewhat interested","Independent","I will most likely vote","Undecided","Democratic Party","Slightly liberal","2008.09",,,,,,
47,"Very interested","Independent","I will definitely vote","Undecided","Neither","Moderate middle of the road","2008.09",,,,,,
51,"Slightly interested","Independent","I don't know whether or not I will vote","Would not vote","Neither","Moderate middle of the road","2008.09",,,,,,
17,"Somewhat interested","Independent","I will definitely vote","Definitely Barack Obama","Republican Party","Slightly conservative","2008.09",,,,,,
52,"Slightly interested","Democrat","Not eligible to vote","Definitely Barack Obama","Strong Democrat","Moderate middle of the road","2008.09",,,,,,
29,"Slightly interested","Independent","I will most likely vote","Undecided","Republican Party","Moderate middle of the road","2008.09",,,,,,
40,"Slightly interested","Democrat","I will definitely vote","Definitely Barack Obama","Strong Democrat","Liberal","2008.09",,,,,,
50,"Somewhat interested","Independent","I will most likely vote","Probably Barack Obama","Democratic Party","Liberal","2008.09",,,,,,
9,"Very interested","Member of another party","I will definitely vote","Definitely Barack Obama","Democratic Party","Extremely liberal","2008.09",,,,,,
7,"Somewhat interested","Democrat","I will most likely vote","Definitely Barack Obama","Strong Democrat","Liberal","2008.09",,,,,,
69,"Not at all interested","Democrat","I will most likely not vote","Definitely Barack Obama","Not very strong Democrat","Liberal","2008.09",,,,,,
44,"Somewhat interested","Democrat","I will definitely vote","Probably Barack Obama","Strong Democrat","Liberal","2008.09",,,,,,
27,"Not at all interested","Independent","I don't know whether or not I will vote","Other candidate","Democratic Party","Liberal","2008.09",,,,,,
66,"Somewhat interested","Democrat","I will definitely vote","Definitely Barack Obama","Strong Democrat","Extremely liberal","2008.09",,,,,,
67,"Very interested","Democrat","I will definitely vote","Definitely Barack Obama","Strong Democrat","Extremely liberal","2008.09",,,,,,
64,"Somewhat interested","Democrat","I will definitely vote","Definitely Barack Obama","Strong Democrat","Extremely liberal","2008.09",,,,,,
6,"Somewhat interested","Democrat","I will definitely vote","Definitely Barack Obama","Strong Democrat","Extremely liberal","2008.09",,,,,,
19,"Somewhat interested","Democrat","I will definitely vote","Definitely Barack Obama","Strong Democrat","Liberal","2008.09",,,,,,
30,"Somewhat interested","Democrat","I will definitely vote","Definitely Barack Obama","Strong Democrat","Liberal","2008.09",,,,,,
71,"Not at all interested","Democrat","I will definitely not vote","Definitely Barack Obama","Not very strong Democrat","Liberal","2008.09",,,,,,
1,"Slightly interested","Democrat","I will definitely vote","Probably Barack Obama","Strong Democrat","Liberal","2008.09",,,,,,
46,"Slightly interested","Democrat","I will most likely vote","Definitely Barack Obama","Strong Democrat","Extremely liberal","2008.09",,,,,,
35,"Very interested","Democrat","I will most likely vote","Definitely Barack Obama","Strong Democrat","Slightly liberal","2008.09",,,,,,
32,"Not at all interested","Democrat","I don't know whether or not I will vote","Undecided","Not very strong Democrat","Moderate middle of the road","2008.09",,,,,,
53,"Very interested","Member of another party","I will definitely vote","Other candidate","Republican Party","Liberal","2008.09",,,,,,
14,"Very interested","Independent","I will most likely not vote","Probably Barack Obama","Neither","Moderate middle of the road","2008.09",,,,,,
25,"Somewhat interested","Independent","I will most likely not vote","Would not vote","Neither","Slightly liberal","2008.09",,,,,,
61,"Somewhat interested","Democrat","I will definitely vote","Definitely Barack Obama","Strong Democrat","Liberal","2008.09",,,,,,
33,"Slightly interested","Democrat","I will definitely not vote","Probably Barack Obama","Not very strong Democrat","Liberal","2008.09",,,,,,
60,"Slightly interested","Republican","I will most likely vote","Probably John McCain","Not very strong Republican","Slightly conservative","2008.09",,,,,,
48,"Somewhat interested","Democrat","I will most likely vote","Definitely Barack Obama","Strong Democrat","Liberal","2008.09",,,,,,
41,"Not at all interested","Democrat","I will definitely not vote","Undecided","Not very strong Democrat","Liberal","2008.09",,,,,,
38,"Very interested","Independent","I will definitely vote","Undecided","Republican Party","Slightly conservative","2008.09",,,,,,
28,"Slightly interested","Independent","I will definitely vote","Probably Barack Obama","Democratic Party","Liberal","2008.09",,,,,,
26,"Slightly interested","Democrat","I will definitely vote","Definitely Barack Obama","Strong Democrat","Extremely liberal","2008.09",,,,,,
10,"Slightly interested","Democrat","I will most likely vote","Definitely Barack Obama","Not very strong Democrat","Liberal","2008.09",,,,,,
22,"Somewhat interested","Republican","I will definitely vote","Probably Barack Obama","Not very strong Republican","Extremely conservative","2008.09",,,,,,
65,"Very interested","Democrat","I will definitely vote","Definitely Barack Obama","Not very strong Democrat","Liberal","2008.09",,,,,,
18,"Somewhat interested","Democrat","I will most likely vote","Definitely Barack Obama","Strong Democrat","Liberal","2008.09",,,,,,
