"id.A","id.B","relationship","survey.date"
47,2,"CloseFriend","2008-09-09"
2,2,"CloseFriend","2008-09-09"
57,2,"CloseFriend","2008-09-09"
73,2,"SocializeTwicePerWeek","2008-09-09"
55,2,"SocializeTwicePerWeek","2008-09-09"
47,2,"SocializeTwicePerWeek","2008-09-09"
51,2,"SocializeTwicePerWeek","2008-09-09"
52,2,"SocializeTwicePerWeek","2008-09-09"
40,2,"SocializeTwicePerWeek","2008-09-09"
66,2,"SocializeTwicePerWeek","2008-09-09"
67,2,"SocializeTwicePerWeek","2008-09-09"
32,2,"SocializeTwicePerWeek","2008-09-09"
83,2,"SocializeTwicePerWeek","2008-09-09"
25,2,"SocializeTwicePerWeek","2008-09-09"
38,2,"SocializeTwicePerWeek","2008-09-09"
28,2,"SocializeTwicePerWeek","2008-09-09"
2,2,"SocializeTwicePerWeek","2008-09-09"
57,2,"SocializeTwicePerWeek","2008-09-09"
68,2,"SocializeTwicePerWeek","2008-09-09"
70,2,"SocializeTwicePerWeek","2008-09-09"
23,2,"SocializeTwicePerWeek","2008-09-09"
8,2,"SocializeTwicePerWeek","2008-09-09"
34,2,"SocializeTwicePerWeek","2008-09-09"
73,2,"PoliticalDiscussant","2008-09-09"
55,2,"PoliticalDiscussant","2008-09-09"
47,2,"PoliticalDiscussant","2008-09-09"
51,2,"PoliticalDiscussant","2008-09-09"
83,2,"PoliticalDiscussant","2008-09-09"
25,2,"PoliticalDiscussant","2008-09-09"
10,2,"PoliticalDiscussant","2008-09-09"
2,2,"PoliticalDiscussant","2008-09-09"
57,2,"PoliticalDiscussant","2008-09-09"
8,2,"PoliticalDiscussant","2008-09-09"
55,2,"FacebookAllTaggedPhotos","2008-09-09"
39,2,"FacebookAllTaggedPhotos","2008-09-09"
37,2,"FacebookAllTaggedPhotos","2008-09-09"
63,2,"FacebookAllTaggedPhotos","2008-09-09"
47,2,"FacebookAllTaggedPhotos","2008-09-09"
40,2,"FacebookAllTaggedPhotos","2008-09-09"
50,2,"FacebookAllTaggedPhotos","2008-09-09"
9,2,"FacebookAllTaggedPhotos","2008-09-09"
44,2,"FacebookAllTaggedPhotos","2008-09-09"
64,2,"FacebookAllTaggedPhotos","2008-09-09"
83,2,"FacebookAllTaggedPhotos","2008-09-09"
14,2,"FacebookAllTaggedPhotos","2008-09-09"
25,2,"FacebookAllTaggedPhotos","2008-09-09"
28,2,"FacebookAllTaggedPhotos","2008-09-09"
65,2,"FacebookAllTaggedPhotos","2008-09-09"
2,2,"FacebookAllTaggedPhotos","2008-09-09"
57,2,"FacebookAllTaggedPhotos","2008-09-09"
45,2,"FacebookAllTaggedPhotos","2008-09-09"
23,2,"FacebookAllTaggedPhotos","2008-09-09"
43,2,"FacebookAllTaggedPhotos","2008-09-09"
37,2,"BlogLivejournalTwitter","2008-09-09"
3,2,"BlogLivejournalTwitter","2008-09-09"
72,2,"BlogLivejournalTwitter","2008-09-09"
63,2,"BlogLivejournalTwitter","2008-09-09"
47,2,"BlogLivejournalTwitter","2008-09-09"
51,2,"BlogLivejournalTwitter","2008-09-09"
9,2,"BlogLivejournalTwitter","2008-09-09"
44,2,"BlogLivejournalTwitter","2008-09-09"
64,2,"BlogLivejournalTwitter","2008-09-09"
83,2,"BlogLivejournalTwitter","2008-09-09"
14,2,"BlogLivejournalTwitter","2008-09-09"
25,2,"BlogLivejournalTwitter","2008-09-09"
28,2,"BlogLivejournalTwitter","2008-09-09"
65,2,"BlogLivejournalTwitter","2008-09-09"
2,2,"BlogLivejournalTwitter","2008-09-09"
57,2,"BlogLivejournalTwitter","2008-09-09"
45,2,"BlogLivejournalTwitter","2008-09-09"
70,2,"BlogLivejournalTwitter","2008-09-09"
23,2,"BlogLivejournalTwitter","2008-09-09"
43,2,"BlogLivejournalTwitter","2008-09-09"
9,38,"CloseFriend","2008-09-09"
36,38,"SocializeTwicePerWeek","2008-09-09"
72,38,"SocializeTwicePerWeek","2008-09-09"
59,38,"SocializeTwicePerWeek","2008-09-09"
52,38,"SocializeTwicePerWeek","2008-09-09"
40,38,"SocializeTwicePerWeek","2008-09-09"
9,38,"SocializeTwicePerWeek","2008-09-09"
44,38,"SocializeTwicePerWeek","2008-09-09"
66,38,"SocializeTwicePerWeek","2008-09-09"
6,38,"SocializeTwicePerWeek","2008-09-09"
30,38,"SocializeTwicePerWeek","2008-09-09"
46,38,"SocializeTwicePerWeek","2008-09-09"
35,38,"SocializeTwicePerWeek","2008-09-09"
32,38,"SocializeTwicePerWeek","2008-09-09"
14,38,"SocializeTwicePerWeek","2008-09-09"
25,38,"SocializeTwicePerWeek","2008-09-09"
28,38,"SocializeTwicePerWeek","2008-09-09"
26,38,"SocializeTwicePerWeek","2008-09-09"
65,38,"SocializeTwicePerWeek","2008-09-09"
18,38,"SocializeTwicePerWeek","2008-09-09"
54,38,"SocializeTwicePerWeek","2008-09-09"
2,38,"SocializeTwicePerWeek","2008-09-09"
68,38,"SocializeTwicePerWeek","2008-09-09"
45,38,"SocializeTwicePerWeek","2008-09-09"
70,38,"SocializeTwicePerWeek","2008-09-09"
59,38,"PoliticalDiscussant","2008-09-09"
44,38,"PoliticalDiscussant","2008-09-09"
32,38,"PoliticalDiscussant","2008-09-09"
10,38,"PoliticalDiscussant","2008-09-09"
18,38,"PoliticalDiscussant","2008-09-09"
39,38,"FacebookAllTaggedPhotos","2008-09-09"
37,38,"FacebookAllTaggedPhotos","2008-09-09"
63,38,"FacebookAllTaggedPhotos","2008-09-09"
47,38,"FacebookAllTaggedPhotos","2008-09-09"
40,38,"FacebookAllTaggedPhotos","2008-09-09"
50,38,"FacebookAllTaggedPhotos","2008-09-09"
9,38,"FacebookAllTaggedPhotos","2008-09-09"
44,38,"FacebookAllTaggedPhotos","2008-09-09"
64,38,"FacebookAllTaggedPhotos","2008-09-09"
46,38,"FacebookAllTaggedPhotos","2008-09-09"
83,38,"FacebookAllTaggedPhotos","2008-09-09"
14,38,"FacebookAllTaggedPhotos","2008-09-09"
28,38,"FacebookAllTaggedPhotos","2008-09-09"
65,38,"FacebookAllTaggedPhotos","2008-09-09"
54,38,"FacebookAllTaggedPhotos","2008-09-09"
